product_id,brand_id,category,collection_cycle,main_material,weight_grams
PROD_0137,B002,Maglieria,Weekly,Cotone Organico,306
PROD_0138,B006,Maglieria,Weekly,Cotone Convenzionale,473
PROD_0139,B004,T-shirt,Seasonal,Cotone Convenzionale,230
PROD_0140,B002,Accessori,Seasonal,Lana,513
PROD_0141,B001,Abiti,Weekly,Viscosa,490
PROD_0142,B001,Accessori,Weekly,Cotone Organico,381
PROD_0143,B007,Abiti,Weekly,Poliestere,365
PROD_0144,B003,Accessori,Weekly,Cotone Organico,523
PROD_0145,B004,Scarpe,Seasonal,Viscosa,914
PROD_0146,B005,Accessori,Weekly,Cotone Convenzionale,328
PROD_0147,B006,Maglieria,Seasonal,Cotone Organico,322
PROD_0148,B005,Jeans,Weekly,Lana,561
PROD_0149,B001,Maglieria,Seasonal,Poliestere,529
PROD_0150,B001,Abiti,Seasonal,Lana,511
PROD_0151,B006,Accessori,Seasonal,Viscosa,506
PROD_0152,B002,Scarpe,Seasonal,Poliestere,1149
PROD_0153,B002,Abiti,Seasonal,Lana,558
PROD_0154,B003,Jeans,Seasonal,Poliestere,758
PROD_0155,B005,Maglieria,Seasonal,Cotone Organico,413
PROD_0156,B003,T-shirt,Seasonal,Cotone Convenzionale,151
PROD_0157,B005,Abiti,Weekly,Cotone Convenzionale,388
PROD_0158,B003,Accessori,Weekly,Cotone Organico,587
PROD_0159,B001,Accessori,Seasonal,Cotone Organico,452
PROD_0160,B002,Maglieria,Weekly,Nylon,340
PROD_0161,B006,Maglieria,Weekly,Lana,344
PROD_0162,B004,Maglieria,Weekly,Viscosa,318
PROD_0163,B002,Accessori,Weekly,Lana,487
PROD_0164,B004,T-shirt,Weekly,Lana,232
PROD_0165,B004,Abiti,Weekly,Poliestere,329
PROD_0166,B007,Jeans,Weekly,Cotone Convenzionale,632
PROD_0167,B007,Maglieria,Weekly,Nylon,355
PROD_0168,B004,Jeans,Weekly,Cotone Convenzionale,564
PROD_0169,B004,Maglieria,Seasonal,Lana,402
PROD_0170,B006,Accessori,Seasonal,Viscosa,565
PROD_0171,B006,Scarpe,Seasonal,Poliestere,728
PROD_0172,B004,T-shirt,Weekly,Nylon,180
PROD_0173,B004,Abiti,Seasonal,Viscosa,544
PROD_0174,B002,Scarpe,Seasonal,Cotone Organico,956
PROD_0175,B004,Scarpe,Seasonal,Cotone Organico,1194
PROD_0176,B003,Accessori,Weekly,Viscosa,430
PROD_0177,B007,T-shirt,Seasonal,Nylon,201
PROD_0178,B003,Jeans,Weekly,Poliestere,594
PROD_0179,B003,Maglieria,Seasonal,Nylon,515
PROD_0180,B005,Accessori,Seasonal,Viscosa,343
PROD_0181,B007,Scarpe,Seasonal,Cotone Convenzionale,736
PROD_0182,B007,T-shirt,Seasonal,Viscosa,159
PROD_0183,B002,Scarpe,Seasonal,Nylon,833
PROD_0184,B002,Accessori,Seasonal,Cotone Convenzionale,315
PROD_0185,B003,Jeans,Weekly,Lana,653
PROD_0186,B004,Scarpe,Weekly,Nylon,1050
PROD_0187,B006,Scarpe,Weekly,Poliestere,1193
PROD_0188,B003,T-shirt,Seasonal,Viscosa,161
PROD_0189,B005,Jeans,Seasonal,Viscosa,643
PROD_0190,B001,Jeans,Seasonal,Cotone Convenzionale,630
PROD_0191,B002,Jeans,Weekly,Poliestere,690
PROD_0192,B001,Accessori,Weekly,Cotone Convenzionale,432
PROD_0193,B004,T-shirt,Seasonal,Poliestere,196
PROD_0194,B007,Maglieria,Weekly,Nylon,360
PROD_0195,B004,Accessori,Seasonal,Viscosa,424
PROD_0196,B004,Maglieria,Seasonal,Cotone Convenzionale,470
PROD_0197,B007,Scarpe,Seasonal,Poliestere,815
PROD_0198,B001,Scarpe,Seasonal,Lana,1048
PROD_0199,B003,Scarpe,Weekly,Poliestere,886
PROD_0200,B002,Jeans,Seasonal,Cotone Organico,584
PROD_0201,B003,T-shirt,Weekly,Cotone Organico,210
PROD_0202,B006,Scarpe,Weekly,Poliestere,1090
PROD_0203,B005,Jeans,Weekly,Nylon,520
PROD_0204,B006,Accessori,Weekly,Viscosa,379
PROD_0205,B006,Abiti,Seasonal,Viscosa,469
PROD_0206,B002,Maglieria,Seasonal,Cotone Organico,478
PROD_0207,B004,Scarpe,Weekly,Cotone Organico,929
PROD_0208,B007,Accessori,Weekly,Cotone Convenzionale,302
PROD_0209,B001,Abiti,Seasonal,Viscosa,510
PROD_0210,B005,Maglieria,Seasonal,Poliestere,360
PROD_0211,B004,T-shirt,Weekly,Viscosa,166
PROD_0212,B004,Abiti,Seasonal,Cotone Organico,458
PROD_0213,B005,Maglieria,Weekly,Lana,306
PROD_0214,B001,Accessori,Weekly,Nylon,558
PROD_0215,B006,Accessori,Weekly,Cotone Organico,324
PROD_0216,B004,Scarpe,Weekly,Poliestere,914
PROD_0217,B005,Jeans,Seasonal,Viscosa,554
PROD_0218,B006,Scarpe,Seasonal,Viscosa,773
PROD_0219,B005,Accessori,Weekly,Cotone Organico,562
PROD_0220,B005,Jeans,Seasonal,Lana,575
PROD_0221,B006,T-shirt,Weekly,Lana,247
PROD_0222,B003,T-shirt,Weekly,Cotone Organico,166
PROD_0223,B003,Accessori,Weekly,Cotone Organico,313
PROD_0224,B004,Maglieria,Seasonal,Lana,501
PROD_0225,B005,T-shirt,Weekly,Cotone Convenzionale,199
PROD_0226,B007,T-shirt,Weekly,Viscosa,204
PROD_0227,B007,Abiti,Weekly,Cotone Convenzionale,424
PROD_0228,B004,Accessori,Weekly,Poliestere,360
PROD_0229,B001,Abiti,Seasonal,Nylon,332
PROD_0230,B005,Accessori,Seasonal,Viscosa,477
PROD_0231,B002,Jeans,Seasonal,Poliestere,540
PROD_0232,B006,Accessori,Seasonal,Viscosa,384
PROD_0233,B006,Scarpe,Weekly,Cotone Convenzionale,949
PROD_0234,B002,Maglieria,Weekly,Cotone Convenzionale,420
PROD_0235,B007,Jeans,Seasonal,Lana,541
PROD_0236,B004,Maglieria,Seasonal,Cotone Organico,336
PROD_0237,B004,T-shirt,Weekly,Nylon,152
PROD_0238,B002,Maglieria,Weekly,Cotone Convenzionale,519
PROD_0239,B005,Abiti,Weekly,Viscosa,513
PROD_0240,B002,Accessori,Weekly,Poliestere,364
PROD_0241,B003,Accessori,Weekly,Cotone Convenzionale,326
PROD_0242,B001,Maglieria,Seasonal,Nylon,310
PROD_0243,B004,Jeans,Weekly,Cotone Organico,647
PROD_0244,B003,Abiti,Seasonal,Poliestere,393
PROD_0245,B005,Jeans,Seasonal,Nylon,561
PROD_0246,B002,Abiti,Weekly,Poliestere,467
PROD_0247,B005,Abiti,Seasonal,Poliestere,347
PROD_0248,B001,T-shirt,Weekly,Poliestere,241
PROD_0249,B007,Abiti,Seasonal,Viscosa,338
PROD_0250,B004,Scarpe,Weekly,Nylon,1086
PROD_0251,B006,Accessori,Seasonal,Lana,521
PROD_0252,B001,Accessori,Weekly,Cotone Organico,590
PROD_0253,B006,Maglieria,Seasonal,Poliestere,420
PROD_0254,B002,Jeans,Seasonal,Poliestere,668
PROD_0255,B002,Scarpe,Weekly,Viscosa,801
PROD_0256,B001,Jeans,Weekly,Poliestere,633
PROD_0257,B003,Maglieria,Seasonal,Viscosa,415
PROD_0258,B001,T-shirt,Seasonal,Nylon,207
PROD_0259,B006,Abiti,Seasonal,Nylon,414
PROD_0260,B002,T-shirt,Weekly,Cotone Organico,166
PROD_0261,B005,Abiti,Weekly,Cotone Convenzionale,392
PROD_0262,B006,Maglieria,Weekly,Cotone Organico,499
PROD_0263,B007,T-shirt,Weekly,Poliestere,189
PROD_0264,B007,T-shirt,Seasonal,Cotone Organico,218
PROD_0265,B003,Accessori,Weekly,Viscosa,561
PROD_0266,B006,Abiti,Seasonal,Viscosa,355
PROD_0267,B001,Scarpe,Weekly,Cotone Convenzionale,942
PROD_0268,B002,Accessori,Weekly,Nylon,459
PROD_0269,B001,Accessori,Weekly,Cotone Convenzionale,559
PROD_0270,B007,Scarpe,Seasonal,Cotone Organico,724
PROD_0271,B006,Scarpe,Seasonal,Viscosa,1056
PROD_0272,B003,Scarpe,Weekly,Lana,942
PROD_0273,B003,Accessori,Weekly,Cotone Organico,391
PROD_0274,B007,Abiti,Weekly,Poliestere,414
PROD_0275,B006,Jeans,Weekly,Cotone Organico,618
PROD_0276,B005,Scarpe,Seasonal,Viscosa,786
PROD_0277,B005,Scarpe,Weekly,Poliestere,975
PROD_0278,B004,Scarpe,Seasonal,Lana,1136
PROD_0279,B001,Scarpe,Weekly,Poliestere,890
PROD_0280,B005,Jeans,Weekly,Poliestere,620
PROD_0281,B003,T-shirt,Weekly,Poliestere,173
PROD_0282,B005,Scarpe,Weekly,Poliestere,1077
PROD_0283,B003,Maglieria,Weekly,Nylon,434
PROD_0284,B006,T-shirt,Weekly,Poliestere,162
PROD_0285,B001,Maglieria,Seasonal,Cotone Organico,428
PROD_0286,B002,Abiti,Seasonal,Cotone Organico,508
PROD_0287,B001,Accessori,Seasonal,Poliestere,480
PROD_0288,B006,T-shirt,Weekly,Cotone Organico,232
PROD_0289,B001,Accessori,Seasonal,Nylon,493
PROD_0290,B005,Maglieria,Seasonal,Viscosa,444
PROD_0291,B004,Jeans,Seasonal,Viscosa,735
PROD_0292,B004,Jeans,Seasonal,Viscosa,653
PROD_0293,B001,T-shirt,Seasonal,Cotone Organico,231
PROD_0294,B007,Abiti,Weekly,Cotone Organico,385
PROD_0295,B004,Maglieria,Weekly,Poliestere,301
PROD_0296,B004,Jeans,Seasonal,Cotone Convenzionale,662
PROD_0297,B001,Abiti,Weekly,Nylon,358
PROD_0298,B006,Accessori,Weekly,Lana,594
PROD_0299,B002,Jeans,Seasonal,Lana,626
PROD_0300,B003,Abiti,Weekly,Poliestere,454
PROD_0301,B006,Scarpe,Weekly,Viscosa,782
PROD_0302,B004,Maglieria,Weekly,Cotone Organico,309
PROD_0303,B003,Jeans,Weekly,Lana,611
PROD_0304,B006,Jeans,Seasonal,Viscosa,628
PROD_0305,B004,Maglieria,Weekly,Nylon,574
PROD_0306,B001,Maglieria,Seasonal,Lana,487
PROD_0307,B006,Jeans,Seasonal,Nylon,743
PROD_0308,B005,Accessori,Weekly,Poliestere,418
PROD_0309,B006,Accessori,Seasonal,Cotone Organico,457
PROD_0310,B004,Maglieria,Seasonal,Nylon,587
PROD_0311,B004,Maglieria,Seasonal,Cotone Organico,483
PROD_0312,B002,Maglieria,Seasonal,Viscosa,362
PROD_0313,B007,Scarpe,Weekly,Cotone Organico,850
PROD_0314,B003,Jeans,Weekly,Cotone Convenzionale,784
PROD_0315,B005,Abiti,Weekly,Cotone Convenzionale,585
PROD_0316,B005,T-shirt,Weekly,Nylon,165
PROD_0317,B006,Jeans,Weekly,Nylon,597
PROD_0318,B002,Maglieria,Seasonal,Poliestere,404
PROD_0319,B002,Accessori,Weekly,Viscosa,440
PROD_0320,B001,T-shirt,Seasonal,Viscosa,185
PROD_0321,B002,Maglieria,Weekly,Lana,517
PROD_0322,B002,Abiti,Weekly,Lana,572
PROD_0323,B006,Jeans,Weekly,Poliestere,675
PROD_0324,B002,Jeans,Seasonal,Viscosa,564
PROD_0325,B003,T-shirt,Seasonal,Cotone Organico,207
PROD_0326,B004,T-shirt,Weekly,Lana,226
PROD_0327,B004,T-shirt,Seasonal,Nylon,228
PROD_0328,B006,Jeans,Weekly,Nylon,695
PROD_0329,B001,Scarpe,Weekly,Poliestere,787
PROD_0330,B006,Scarpe,Seasonal,Poliestere,955
PROD_0331,B001,T-shirt,Weekly,Poliestere,188
PROD_0332,B003,Scarpe,Seasonal,Cotone Convenzionale,1190
PROD_0333,B001,Abiti,Weekly,Nylon,363
PROD_0334,B007,Jeans,Seasonal,Nylon,734
PROD_0335,B005,Abiti,Seasonal,Poliestere,573
PROD_0336,B003,Accessori,Seasonal,Cotone Organico,550
PROD_0337,B001,T-shirt,Weekly,Nylon,178
PROD_0338,B005,Abiti,Weekly,Cotone Convenzionale,560
PROD_0339,B003,T-shirt,Weekly,Cotone Convenzionale,177
PROD_0340,B005,Accessori,Weekly,Poliestere,591
PROD_0341,B007,Jeans,Weekly,Viscosa,797
PROD_0342,B005,T-shirt,Weekly,Viscosa,207
PROD_0343,B005,Abiti,Seasonal,Lana,594
PROD_0344,B002,Accessori,Weekly,Viscosa,512
PROD_0345,B005,T-shirt,Seasonal,Poliestere,179
PROD_0346,B004,T-shirt,Weekly,Cotone Convenzionale,232
PROD_0347,B006,Jeans,Weekly,Lana,774
PROD_0348,B004,Maglieria,Weekly,Lana,584
PROD_0349,B004,T-shirt,Weekly,Lana,243
PROD_0350,B001,Abiti,Seasonal,Lana,508
PROD_0351,B004,Jeans,Seasonal,Viscosa,592
PROD_0352,B005,Maglieria,Seasonal,Cotone Organico,506
PROD_0353,B005,Maglieria,Weekly,Cotone Convenzionale,396
PROD_0354,B004,Jeans,Weekly,Nylon,540
PROD_0355,B007,Accessori,Weekly,Viscosa,518
PROD_0356,B005,Accessori,Seasonal,Cotone Organico,363
PROD_0357,B004,Maglieria,Weekly,Cotone Organico,453
PROD_0358,B006,Jeans,Seasonal,Lana,686
PROD_0359,B001,T-shirt,Weekly,Cotone Organico,151
PROD_0360,B005,Maglieria,Seasonal,Nylon,425
PROD_0361,B002,Scarpe,Weekly,Nylon,1008
PROD_0362,B002,Accessori,Seasonal,Poliestere,308
PROD_0363,B003,Accessori,Weekly,Cotone Convenzionale,480
PROD_0364,B003,Jeans,Weekly,Nylon,664
PROD_0365,B004,T-shirt,Weekly,Poliestere,210
PROD_0366,B001,Jeans,Seasonal,Cotone Organico,790
PROD_0367,B007,Abiti,Weekly,Nylon,310
PROD_0368,B007,Scarpe,Weekly,Cotone Organico,881
PROD_0369,B004,Scarpe,Seasonal,Cotone Organico,822
PROD_0370,B001,Maglieria,Weekly,Poliestere,569
PROD_0371,B005,Jeans,Seasonal,Cotone Convenzionale,684
PROD_0372,B001,T-shirt,Seasonal,Nylon,206
PROD_0373,B005,Accessori,Seasonal,Poliestere,398
PROD_0374,B006,Accessori,Weekly,Cotone Organico,329
PROD_0375,B005,Maglieria,Seasonal,Viscosa,539
PROD_0376,B006,Accessori,Weekly,Nylon,552
PROD_0377,B002,Maglieria,Weekly,Poliestere,524
PROD_0378,B001,Accessori,Weekly,Cotone Organico,364
PROD_0379,B007,Abiti,Weekly,Viscosa,462
PROD_0380,B003,Abiti,Seasonal,Nylon,573
PROD_0381,B002,Scarpe,Weekly,Poliestere,1113
PROD_0382,B006,Accessori,Seasonal,Viscosa,402
PROD_0383,B003,Jeans,Weekly,Cotone Organico,711
PROD_0384,B005,Scarpe,Weekly,Cotone Organico,784
PROD_0385,B005,Maglieria,Seasonal,Nylon,351
PROD_0386,B007,Scarpe,Seasonal,Cotone Organico,704
PROD_0387,B005,Maglieria,Seasonal,Viscosa,455
PROD_0388,B004,Abiti,Weekly,Nylon,373
PROD_0389,B005,Maglieria,Seasonal,Cotone Organico,360
PROD_0390,B005,Maglieria,Weekly,Lana,398
PROD_0391,B006,Accessori,Weekly,Cotone Convenzionale,538
PROD_0392,B006,Accessori,Weekly,Poliestere,496
PROD_0393,B003,Maglieria,Weekly,Nylon,596
PROD_0394,B002,Scarpe,Weekly,Nylon,709
PROD_0395,B006,Jeans,Seasonal,Cotone Convenzionale,523
PROD_0396,B007,Abiti,Seasonal,Cotone Convenzionale,394
PROD_0397,B004,Accessori,Seasonal,Cotone Organico,584
PROD_0398,B001,Maglieria,Seasonal,Nylon,376
PROD_0399,B006,Jeans,Seasonal,Cotone Convenzionale,685
PROD_0400,B007,Accessori,Seasonal,Poliestere,509
PROD_0401,B007,T-shirt,Seasonal,Nylon,249
PROD_0402,B007,Jeans,Weekly,Lana,696
PROD_0403,B002,Abiti,Weekly,Lana,598
PROD_0404,B005,T-shirt,Seasonal,Cotone Convenzionale,211
PROD_0405,B002,Abiti,Seasonal,Nylon,557
PROD_0406,B004,Jeans,Weekly,Cotone Organico,730
PROD_0407,B006,T-shirt,Weekly,Nylon,224
PROD_0408,B002,Maglieria,Weekly,Viscosa,401
PROD_0409,B007,Maglieria,Weekly,Cotone Convenzionale,459
PROD_0410,B004,Abiti,Seasonal,Lana,504
PROD_0411,B003,Maglieria,Seasonal,Viscosa,330
PROD_0412,B006,Jeans,Weekly,Poliestere,766
PROD_0413,B002,Accessori,Weekly,Viscosa,574
PROD_0414,B002,T-shirt,Seasonal,Poliestere,154
PROD_0415,B006,Scarpe,Seasonal,Poliestere,1066
PROD_0416,B003,Maglieria,Seasonal,Cotone Organico,442
PROD_0417,B001,Scarpe,Weekly,Viscosa,1010
PROD_0418,B007,Maglieria,Weekly,Nylon,570
PROD_0419,B002,Abiti,Seasonal,Cotone Organico,359
PROD_0420,B001,Accessori,Seasonal,Cotone Organico,557
PROD_0421,B004,Accessori,Weekly,Nylon,498
PROD_0422,B006,T-shirt,Weekly,Viscosa,241
PROD_0423,B007,Abiti,Seasonal,Cotone Convenzionale,389
PROD_0424,B007,Accessori,Seasonal,Lana,542
PROD_0425,B002,Jeans,Seasonal,Viscosa,581
PROD_0426,B005,Abiti,Weekly,Lana,483
PROD_0427,B005,Accessori,Seasonal,Cotone Convenzionale,551
PROD_0428,B006,Scarpe,Weekly,Poliestere,932
PROD_0429,B001,Abiti,Weekly,Cotone Organico,559
PROD_0430,B004,Abiti,Seasonal,Poliestere,490
PROD_0431,B002,T-shirt,Weekly,Lana,243
PROD_0432,B002,Scarpe,Seasonal,Cotone Convenzionale,981
PROD_0433,B006,Accessori,Seasonal,Poliestere,344
PROD_0434,B006,Accessori,Weekly,Cotone Convenzionale,480
PROD_0435,B003,T-shirt,Weekly,Viscosa,198
PROD_0436,B007,Maglieria,Weekly,Cotone Organico,398
PROD_0437,B001,Maglieria,Seasonal,Cotone Organico,490
PROD_0438,B002,Scarpe,Weekly,Viscosa,733
PROD_0439,B002,Scarpe,Weekly,Cotone Organico,1112
PROD_0440,B003,Scarpe,Weekly,Cotone Organico,1186
PROD_0441,B001,Abiti,Weekly,Poliestere,374
PROD_0442,B005,Scarpe,Seasonal,Nylon,785
PROD_0443,B007,Maglieria,Weekly,Cotone Convenzionale,596
PROD_0444,B002,Scarpe,Weekly,Cotone Organico,1093
PROD_0445,B001,Jeans,Weekly,Cotone Convenzionale,738
PROD_0446,B006,T-shirt,Weekly,Viscosa,150
PROD_0447,B006,Abiti,Seasonal,Cotone Organico,565
PROD_0448,B003,Accessori,Weekly,Nylon,336
PROD_0449,B007,Accessori,Weekly,Cotone Organico,381
PROD_0450,B004,Accessori,Seasonal,Poliestere,522
PROD_0451,B006,T-shirt,Seasonal,Cotone Convenzionale,165
PROD_0452,B006,Abiti,Seasonal,Poliestere,553
PROD_0453,B007,Accessori,Seasonal,Lana,438
PROD_0454,B004,Accessori,Weekly,Poliestere,597
PROD_0455,B005,Scarpe,Weekly,Poliestere,1068
PROD_0456,B006,Accessori,Seasonal,Cotone Organico,360
PROD_0457,B004,Jeans,Weekly,Poliestere,586
PROD_0458,B003,Maglieria,Weekly,Lana,415
PROD_0459,B002,Accessori,Weekly,Cotone Organico,307
PROD_0460,B003,Scarpe,Weekly,Nylon,1184
PROD_0461,B002,Jeans,Weekly,Cotone Organico,669
PROD_0462,B003,Maglieria,Weekly,Nylon,376
PROD_0463,B004,Jeans,Seasonal,Poliestere,536
PROD_0464,B007,T-shirt,Weekly,Nylon,223
PROD_0465,B001,Jeans,Weekly,Cotone Organico,752
PROD_0466,B006,Accessori,Weekly,Cotone Organico,432
PROD_0467,B005,Abiti,Seasonal,Viscosa,433
PROD_0468,B004,Jeans,Weekly,Poliestere,769
